Name|Full Name|Sector|Sub Sector|Market|Website
EGATIF|NORTH BANGKOK POWER PLANT BLOCK 1 INFRASTRUCTURE FUND, ELECTRICITY GENERATING AUTHORITY OF THAILAND|Resources|Energy & Utilities|SET|www.ktam.co.th
EGCO|ELECTRICITY GENERATING PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETHD / SETTHSI|www.egco.com
EKH|EKACHAI MEDICAL CARE PUBLIC COMPANY LIMITED|Services|Health Care Services|sSET|www.ekachaihospital.com
EMC|EMC PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|SET|www.emc.co.th
EPG|EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SET100 / SETTHSI|www.epg.co.th
ESSO|ESSO (THAILAND) PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100|www.esso.co.th
FORTH|FORTH CORPORATION PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET|www.forth.co.th
FPI|FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED|Industrial|Industrial|mai|www.fpiautoparts.com
FSMART|FORTH SMART SERVICE PUBLIC COMPANY LIMITED|Services|Services|mai|www.boonterm.com
FSS|FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.fnsyrus.com
GBX|GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.globlexholding.co.th
GC|GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED|Industrials|Petrochemicals & Chemicals|SET|www.gc.co.th
GFPT|GFPT PUBLIC COMPANY LIMITED|Agro & Food Industry|Agribusiness|sSET / SETTHSI|www.gfpt.co.th
GGC|GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED|Industrials|Petrochemicals & Chemicals|sSET|www.ggcplc.com
GLAND|GRAND CANAL LAND PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET|www.grandcanalland.com
GLOBAL|SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED|Services|Commerce|SET50 / SETCLMV / SETTHSI / SETWB|www.globalhouse.co.th
GPI|GRAND PRIX INTERNATIONAL PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET|www.grandprix.co.th
GPSC|GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETTHSI|www.gpscgroup.com
GRAMMY|GMM GRAMMY PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET|www.gmmgrammy.com
GULF|GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETTHSI|www.gulf.co.th
GUNKUL|GUNKUL ENGINEERING PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100 / SETCLMV / SETHD / SETTHSI|www.gunkul.com
GVREIT|GOLDEN VENTURES LEASEHOLD REAL ESTATE INVESTMENT TRUST|Property & Construction|Property Fund & REITs|SET|www.gvreit.com
HANA|HANA MICROELECTRONICS PUBLIC COMPANY LIMITED|Technology|Electronic Components|SET100 / SETTHSI|www.hanagroup.com
HFT|HWA FONG RUBBER (THAILAND) PUBLIC COMPANY LIMITED|Industrials|Automotive|sSET|www.duro.co.th
HMPRO|HOME PRODUCT CENTER PUBLIC COMPANY LIMITED|Services|Commerce|SET50 / SETTHSI / SETWB|www.homepro.co.th
HREIT|HEMARAJ LEASEHOLD REAL ESTATE INVESTMENT TRUST|Property & Construction|Property Fund & REITs|SET|www.hemarajreit.com
