Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
GFPT,SETTHSI    ,13.70,18.70,11.80,10.43,1.07,1253.82,17177.35,95.77,0.66
GGC,SET    ,14.70,16.30,12.40,16.89,1.46,9724.83,15047.90,1.56,0.70
GLOBAL,SET50 / SETCLMV / SETTHSI / SETWB    ,20.80,23.70,16.80,26.95,4.68,4801.74,99876.12,515.70,1.04
GPSC,SET50 / SETCLMV / SETTHSI    ,74.00,88.25,57.25,83.59,1.94,28197.29,208659.97,507.75,1.22
GRAMMY,SET    ,10.20,12.80,9.90,446.37,6.53,819.95,8363.49,0.10,0.82
GULF,SET50 / SETCLMV / SETTHSI    ,54.00,57.25,45.00,69.97,5.93,11733.15,633590.10,1009.71,1.33
GUNKUL,SET100 / SETCLMV / SETHD / SETTHSI    ,5.10,7.20,4.80,13.61,3.10,2220.63,45300.91,226.16,1.48
GVREIT,SET    ,9.00,10.30,8.55,999.99,0.81,8046.15,7333.20,1.90,0.20
HANA,SET100 / SETHD / SETTHSI    ,58.50,82.50,32.75,48.53,1.98,804.88,47085.41,1097.68,2.41
HFT,sSET    ,6.45,8.55,5.95,8.69,1.16,658.43,4246.90,1.00,0.87
HMPRO,SET50 / SETTHSI / SETWB    ,15.40,16.60,12.40,31.95,8.96,13151.20,202528.45,560.91,0.98
HTC,sSET / SETTHSI    ,30.00,35.75,27.00,14.78,1.65,200.96,6028.81,7.03,0.85
ICHI,sSET / SETCLMV / SETTHSI    ,12.00,12.40,7.20,26.83,2.60,1300.00,15600.00,79.64,1.74
III,sSET    ,15.00,18.36,11.31,22.97,3.92,369.35,11080.47,111.75,0.94
ILM,sSET    ,18.80,25.00,15.00,15.15,1.73,2525.00,9494.00,19.79,1.37
IMH,mai    ,14.20,23.30,10.80,8.46,3.47,107.50,3053.00,23.10,0.37
IMPACT,SET    ,13.50,17.50,11.80,999.99,1.23,15714.50,20013.75,9.47,0.56
INGRS,SET    ,0.56,0.92,0.52,999.99,0.68,1446.94,810.29,0.60,1.92
INOX,SET    ,1.04,1.85,0.95,9.89,0.85,7795.71,8107.54,6.79,1.59
INTUCH,SET50 / SETCLMV / SETHD / SETTHSI    ,74.00,78.75,67.00,23.12,6.31,3206.69,237294.89,412.57,0.56
IP,mai    ,15.50,22.90,13.50,45.44,3.05,186.26,5774.07,26.40,0.51
IRPC,SET100 / SETCLMV / SETTHSI    ,3.14,4.12,2.84,12.89,0.74,20434.42,64164.08,367.59,1.06
